CODART;FAMILIA;SUBFAMILIA;Obsoleto
150024;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
150028;COMPLEMENTOS;COMPLEMENTOS;No
150113;COMPLEMENTOS;COMPLEMENTOS;No
150213;COMPLEMENTOS;COMPLEMENTOS;No
150223;COMPLEMENTOS;COMPLEMENTOS;No
150313;COMPLEMENTOS;COMPLEMENTOS;Si
154001;GALLETAS Y DULCES;GALLETAS Y DULCES;Si
154003;GALLETAS Y DULCES;GALLETAS Y DULCES;Si
154007;;;Si
154008;;;Si
154010;;;Si
154011;;;Si
154014;;;Si
155005;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155016;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155017;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155031;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155034;GALLETAS Y DULCES;GALLETAS Y DULCES;Si
155040;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155047;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155048;GALLETAS Y DULCES;GALLETAS Y DULCES;Si
155049;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155054;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155057;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155076;FRUTOS SECOS Y SNACKS;SNACKS;Si
155080;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155082;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155086;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155087;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155088;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155090;GALLETAS Y DULCES;GALLETAS Y DULCES;No
155091;FRUTOS SECOS Y SNACKS;SNACKS;No
156001;FRUTOS SECOS Y SNACKS;SNACKS;Si
156002;FRUTOS SECOS Y SNACKS;SNACKS;Si
156003;FRUTOS SECOS Y SNACKS;SNACKS;Si
156011;FRUTOS SECOS Y SNACKS;SNACKS;No
156014;FRUTOS SECOS Y SNACKS;SNACKS;Si
156015;FRUTOS SECOS Y SNACKS;SNACKS;Si
156016;FRUTOS SECOS Y SNACKS;SNACKS;Si
156017;FRUTOS SECOS Y SNACKS;SNACKS;Si
156018;FRUTOS SECOS Y SNACKS;SNACKS;No
156019;FRUTOS SECOS Y SNACKS;SNACKS;Si
156020;FRUTOS SECOS Y SNACKS;SNACKS;No
156030;FRUTOS SECOS Y SNACKS;SNACKS;Si
156031;FRUTOS SECOS Y SNACKS;SNACKS;No
156032;FRUTOS SECOS Y SNACKS;SNACKS;No
160001;GALLETAS Y DULCES;MERMELADAS;No
160002;GALLETAS Y DULCES;MERMELADAS;No
160003;GALLETAS Y DULCES;MERMELADAS;No
160005;GALLETAS Y DULCES;MERMELADAS;No
160006;GALLETAS Y DULCES;MERMELADAS;No
160007;GALLETAS Y DULCES;MERMELADAS;No
160008;GALLETAS Y DULCES;MERMELADAS;No
160009;GALLETAS Y DULCES;MERMELADAS;No
160010;GALLETAS Y DULCES;MERMELADAS;No
160011;GALLETAS Y DULCES;MERMELADAS;No
160012;GALLETAS Y DULCES;MERMELADAS;No
160013;GALLETAS Y DULCES;MERMELADAS;Si
160014;GALLETAS Y DULCES;MERMELADAS;No
160015;GALLETAS Y DULCES;MERMELADAS;No
160017;GALLETAS Y DULCES;MERMELADAS;Si
160018;GALLETAS Y DULCES;MERMELADAS;No
160019;GALLETAS Y DULCES;MERMELADAS;No
160020;GALLETAS Y DULCES;MERMELADAS;No
160021;GALLETAS Y DULCES;MERMELADAS;No
160023;GALLETAS Y DULCES;MERMELADAS;No
160052;GALLETAS Y DULCES;MERMELADAS;Si
160053;GALLETAS Y DULCES;MERMELADAS;No
160058;GALLETAS Y DULCES;MERMELADAS;Si
160059;GALLETAS Y DULCES;MERMELADAS;Si
160060;GALLETAS Y DULCES;MERMELADAS;Si
160065;GALLETAS Y DULCES;MERMELADAS;No
160068;GALLETAS Y DULCES;MERMELADAS;Si
160071;GALLETAS Y DULCES;MERMELADAS;Si
165001;ARROCES Y LEGUMBRES;LEGUMBRES;No
165002;ARROCES Y LEGUMBRES;LEGUMBRES;Si
165003;ARROCES Y LEGUMBRES;LEGUMBRES;Si
165005;ARROCES Y LEGUMBRES;LEGUMBRES;Si
165006;ARROCES Y LEGUMBRES;LEGUMBRES;No
165008;ARROCES Y LEGUMBRES;LEGUMBRES;Si
165010;ARROCES Y LEGUMBRES;LEGUMBRES;No
170001;SEMILLAS;SEMILLAS;No
170002;SEMILLAS;SEMILLAS;No
170003;SEMILLAS;SEMILLAS;No
170004;SEMILLAS;SEMILLAS;No
170005;SEMILLAS;SEMILLAS;No
170006;SEMILLAS;SEMILLAS;No
170008;SEMILLAS;SEMILLAS;No
170009;SEMILLAS;SEMILLAS;No
170011;SEMILLAS;SEMILLAS;Si
170012;SEMILLAS;SEMILLAS;No
170013;SEMILLAS;SEMILLAS;No
170014;SEMILLAS;SEMILLAS;No
170016;SEMILLAS;SEMILLAS;No
170019;SEMILLAS;SEMILLAS;No
170021;SEMILLAS;SEMILLAS;No
170022;SEMILLAS;SEMILLAS;No
170023;SEMILLAS;SEMILLAS;Si
170024;SEMILLAS;SEMILLAS;No
170025;SEMILLAS;SEMILLAS;No
170026;SEMILLAS;SEMILLAS;No
170027;SEMILLAS;SEMILLAS;Si
170222;SEMILLAS;SEMILLAS;No
170305;SEMILLAS;SEMILLAS;No
170322;SEMILLAS;SEMILLAS;No
170925;SEMILLAS;SEMILLAS;No
175001;BEBIDAS VEGETALES;ZUMOS;No
175002;BEBIDAS VEGETALES;ZUMOS;No
175003;BEBIDAS VEGETALES;ZUMOS;No
175004;BEBIDAS VEGETALES;ZUMOS;No
175005;BEBIDAS VEGETALES;ZUMOS;No
175006;BEBIDAS VEGETALES;ZUMOS;No
175007;BEBIDAS VEGETALES;ZUMOS;No
175008;BEBIDAS VEGETALES;ZUMOS;Si
175009;BEBIDAS VEGETALES;ZUMOS;No
175012;BEBIDAS VEGETALES;ZUMOS;No
175013;BEBIDAS VEGETALES;ZUMOS;No
175015;BEBIDAS VEGETALES;ZUMOS;No
176001;BEBIDAS VEGETALES;ZUMOS;No
176002;BEBIDAS VEGETALES;ZUMOS;No
176003;BEBIDAS VEGETALES;ZUMOS;No
176004;BEBIDAS VEGETALES;ZUMOS;No
176005;BEBIDAS VEGETALES;ZUMOS;No
176006;BEBIDAS VEGETALES;ZUMOS;No
176007;BEBIDAS VEGETALES;ZUMOS;No
176012;BEBIDAS VEGETALES;ZUMOS;No
176013;BEBIDAS VEGETALES;ZUMOS;No
179001;GALLETAS Y DULCES;MERMELADAS;No
179002;GALLETAS Y DULCES;MERMELADAS;No
179003;GALLETAS Y DULCES;MERMELADAS;No
179004;GALLETAS Y DULCES;MERMELADAS;No
179005;GALLETAS Y DULCES;MERMELADAS;Si
179009;GALLETAS Y DULCES;MERMELADAS;No
179025;GALLETAS Y DULCES;MERMELADAS;No
180001;PASTA;PASTA CON VERDURAS;Si
180005;PASTA;PASTA CON VERDURAS;Si
180006;PASTA;PASTA CON VERDURAS;No
180007;PASTA;PASTA;Si
180008;PASTA;PASTA CON VERDURAS;Si
180011;PASTA;PASTA INTEGRAL;No
180015;PASTA;PASTA INTEGRAL;No
180016;PASTA;PASTA INTEGRAL;No
180017;PASTA;PASTA INTEGRAL;No
180021;PASTA;PASTA INTEGRAL;No
180025;PASTA;PASTA INTEGRAL;No
180026;PASTA;PASTA INTEGRAL;No
180027;PASTA;PASTA INTEGRAL;No
190001;GALLETAS Y DULCES;GALLETAS Y DULCES;Si
